,AKAZE-FREAK-BF-RANSAC,AKAZE-FREAK-BF-RANSAC-cropped,AKAZE-BRISK-BF-RANSAC,AKAZE-BRISK-BF-RANSAC-cropped,AKAZE-SIFT-BF KNN-RANSAC,AKAZE-SIFT-BF KNN-RANSAC-cropped,AKAZE-SIFT-BF KNN-USAC,AKAZE-SIFT-BF KNN-USAC-cropped,AKAZE-SIFT-BF-USAC,AKAZE-SIFT-BF-USAC-cropped,SIFT-SIFT-BF KNN-USAC,SIFT-SIFT-BF KNN-USAC-cropped,auto,auto-cropped,spsg,spsg-cropped,Subset
0,43.56760816,42.26276788,49.92048305,44.20715974,46.09208087,44.64273784,46.9412452,44.42768239,43.82705653,42.43049128,46.43195413,45.56957442,47.99132183,42.92252744,46.06148814,45.28142461,carmel
1,41.7928,33.3846,65.156,30.714,61.5282,44.6247,36.941,34.2925,52.9852,40.1333,50.4282,45.9175,48.9844,37.8696,48.47201573,31.29951342,diamondhead
2,61.8809111,41.07599387,40.92337017,38.80571765,37.97615132,39.03028254,40.84685975,41.27080153,40.35084265,42.11349635,40.4877277,40.25786329,22.19718851,43.02759618,33.15850382,39.91138131,fishbowl
3,34.31077492,46.19540921,36.49985861,47.51506252,40.35586891,49.64628184,35.89173096,51.72008013,35.27137505,48.66467754,41.27278417,49.21828399,43.7541042,52.91901592,50.36345806,40.25561101,goldengate
4,51.33385702,49.3152914,49.23290822,49.25162908,46.28076012,50.42195441,47.39109731,49.47183184,51.15760194,48.23856077,45.81209942,49.65496698,,,56.25673035,48.81679531,halfdome
5,29.62888089,29.41270015,28.22709509,27.49319014,31.44705487,28.18189408,25.94207735,28.10647794,29.29518846,24.57453126,27.40871509,29.15972109,,,32.38961522,31.95775844,hotel
6,22.2968796,21.84491956,23.5552716,21.87695871,22.22477063,21.55500324,23.58588976,21.78341273,23.21861427,21.72047222,23.47533671,21.82674488,21.94562048,22.23024286,24.13265422,22.0287382,office
7,75.98969045,56.01139843,68.93117106,54.42475222,76.46641265,53.0553287,67.24408117,52.64294754,76.12058869,53.93520541,68.78850667,51.55181379,39.44427308,46.05000468,73.96265697,57.84654674,rio
8,36.8341,49.7168,37.9711,68.6414,37.3327,68.2926,31.9067,54.6366,39.7841,68.9037,39.1637,68.4952,,,40.11837457,75.11516661,shanghai
9,20.9155,20.5174,23.8782,24.5027,20.9561,,21.5223,20.6608,21.2097,20.5694,21.1209,20.396,62.0375,63.5016,21.1642,20.8996,yard
